'굿즈', 'goods'
'그나', 'gna'
'그네툼', 'gnetum'
'그놈', 'GNOME'
'그누텔라', 'gnutella'
'그라나', 'grana'
'그라나틴', 'granatin'
'그라눔', 'granum'
'그라뉼라아제', 'granulase'
'그라니세트론', 'granisetron'
'그라데이션', 'gradation'
'그라데이션 재킷', 'gradation jacket'
'그라데이션 티 셔츠', 'gradation T shirt'
'그라도코엔', 'gradocoen'
'그라마', 'grama'
'그라마폰 레코드', 'gramophone record'
'그라모돔', 'gramoderm'
'그라모폰', 'gramophone'
'그라미시딘', 'gramicidin'
'그라민', 'gramine'
'그라비어', 'gravure'
'그라비어 스크린', 'gravure screen'
'그라스 러그', 'grass rug'
'그라스 벙커', 'grass bunker'
'그라스 사일리지', 'grass silage'
'그라스 임브로이더리', 'grass embroidery'
'그라스 클로스', 'grass cloth'
'그라스 테타니', 'grass tetany'
'그라야노톡신', 'grayanotoxin'
'그라우스 슈팅 해트', 'grouse shooting hat'
'그라우저', 'grouser'
'그라우트', 'grout'
'그라우트 리세스', 'grout recess'
